Date,GDP_Korea,USDKRW,GDP_Korea_USD_Million,GDP_Proxy_Monthly,CPI_Korea
1996-01-01,197063400.0,785.3,250940.277601,101.6464,56.17593
1996-02-01,198328500.0,782.8,253357.775507,101.735,56.3973
1996-03-01,199593500.0,782.3,255136.818782,101.8247,56.77997
1996-04-01,200858600.0,778.3,258073.493511,101.9128,57.16369
1996-05-01,202094400.0,788.0,256464.932318,101.9966,57.49259
1996-06-01,203330100.0,811.4,250591.734451,102.0728,57.49259
1996-07-01,204565900.0,813.0,251618.573186,102.1379,57.76668
1996-08-01,205763600.0,819.3,251145.571423,102.1883,58.03971
1996-09-01,206961200.0,826.5,250406.81589,102.2215,58.1504
1996-10-01,208158900.0,828.5,251247.917924,102.2384,58.1504
1996-11-01,208493800.0,829.1,251469.987537,102.2457,58.1504
1996-12-01,208828600.0,847.5,246405.46706,102.2599,58.36861
1997-01-01,209163500.0,867.0,241249.711649,102.3118,58.8082
1997-02-01,211610300.0,866.0,244353.656659,102.4296,59.13605
1997-03-01,214057000.0,898.0,238370.861173,102.6191,59.35532
1997-04-01,216503800.0,894.0,242174.272931,102.8392,59.62941
1997-05-01,217209600.0,893.5,243099.757508,103.0245,59.68422
1997-06-01,217915500.0,890.0,244848.838951,103.1052,59.79386
1997-07-01,218621300.0,892.0,245091.143498,103.0306,59.90349
1997-08-01,218175800.0,905.0,241078.195212,102.7579,60.34097
1997-09-01,217730200.0,917.0,237437.549982,102.2515,60.61717
1997-10-01,217284700.0,970.0,224004.845361,101.4978,60.61717
1997-11-01,212421800.0,1169.5,181634.687188,100.5073,60.67093
1997-12-01,207558800.0,1695.0,122453.588987,99.33309,62.20581
1998-01-01,202695900.0,1528.0,132654.384817,98.104,63.68587
1998-02-01,202168700.0,1635.0,123650.58104,96.9668,64.78221
1998-03-01,201641500.0,1386.0,145484.487734,96.03881,64.67258
1998-04-01,201114300.0,1338.0,150309.641256,95.35923,64.89185
1998-05-01,202426100.0,1409.0,143666.524722,94.92791,64.56294
1998-06-01,203738000.0,1376.0,148065.382752,94.72293,64.28886
1998-07-01,205049800.0,1232.0,166436.525974,94.69874,64.28886
1998-08-01,206753500.0,1336.0,154755.613772,94.80942,64.50707
1998-09-01,208457200.0,1393.0,149646.231156,95.01847,64.78221
1998-10-01,210160900.0,1321.0,159092.278577,95.29913,65.00043
1998-11-01,212336600.0,1247.0,170277.947073,95.63649,64.78221
1998-12-01,214512300.0,1206.0,177870.895522,96.02432,64.67258
1999-01-01,216688000.0,1176.0,184258.503401,96.45749,64.61776
1999-02-01,219821500.0,1224.5,179519.395672,96.9308,64.89185
1999-03-01,222955000.0,1228.0,181559.446254,97.43397,65.00043
1999-04-01,226088500.0,1189.0,190150.126156,97.94302,65.16488
1999-05-01,228253200.0,1186.1,192440.0978,98.43019,65.05524
1999-06-01,230417900.0,1157.5,199065.140389,98.87309,64.67258
1999-07-01,232582600.0,1204.0,193174.916944,99.26493,64.45226
1999-08-01,234658200.0,1181.0,198694.524414,99.60647,65.11111
1999-09-01,236733900.0,1217.0,194522.48699,99.90068,65.27557
1999-10-01,238809500.0,1200.0,199007.916667,100.1506,65.76892
1999-11-01,240397400.0,1159.5,207328.474917,100.3583,65.65823
1999-12-01,241985200.0,1136.0,213015.170188,100.5264,65.5486
2000-01-01,243573100.0,1124.0,216702.046263,100.6623,65.83955
2000-02-01,244824000.0,1131.31,216407.557021,100.7751,66.04089
2000-03-01,246075000.0,1105.5,222591.557365,100.8737,66.37296
2000-04-01,247325900.0,1110.0,222816.126126,100.9671,66.10625
2000-05-01,249589700.0,1130.0,220875.811209,101.0577,65.77314
2000-06-01,251853400.0,1115.15,225847.135662,101.1361,66.10625
2000-07-01,254117200.0,1116.9,227520.100278,101.1741,66.37296
2000-08-01,253835800.0,1108.8,228928.391053,101.1411,66.70502
2000-09-01,253554400.0,1115.3,227341.881108,101.022,67.5705
2000-10-01,253273000.0,1139.0,222364.354697,100.8402,67.50409
2000-11-01,254122300.0,1217.0,208810.408107,100.6348,67.10456
2000-12-01,254971500.0,1267.0,201240.357801,100.4427,67.37021
2001-01-01,255820800.0,1258.0,203355.166932,100.2826,68.10392
2001-02-01,257106600.0,1254.8,204898.49644,100.1614,68.43598
2001-03-01,258392500.0,1332.0,193988.338338,100.0776,69.0358
2001-04-01,259678300.0,1319.0,196875.132676,100.0225,69.30146
2001-05-01,260780700.0,1282.0,203417.108684,99.98648,69.23505
2001-06-01,261883200.0,1303.0,200984.778716,99.96377,69.43429
2001-07-01,262985600.0,1303.0,201830.85188,99.95557,69.56711
2001-08-01,264318000.0,1284.0,205855.166147,99.96857,69.83382
2001-09-01,265650500.0,1302.0,204032.616487,100.0126,69.7674
2001-10-01,266982900.0,1296.0,206005.324074,100.0968,69.7674
2001-11-01,269461900.0,1273.0,211674.70542,100.2274,69.36893
2001-12-01,271940900.0,1313.5,207035.325466,100.4037,69.50175
2002-01-01,274419900.0,1314.4,208779.595253,100.6094,69.90023
2002-02-01,276161200.0,1323.8,208612.454046,100.8228,70.23335
2002-03-01,277902400.0,1325.9,209595.318903,101.0241,70.63288
2002-04-01,279643700.0,1294.0,216107.959815,101.2032,71.03242
2002-05-01,281375000.0,1219.3,230767.626234,101.3536,71.29807
2002-06-01,283106200.0,1205.0,234942.932227,101.4676,71.23165
2002-07-01,284837500.0,1183.0,240775.570583,101.5349,71.03242
2002-08-01,285734200.0,1201.9,237735.391186,101.5418,71.49836
2002-09-01,286630800.0,1227.7,233469.767316,101.4749,71.89895
2002-10-01,287527500.0,1224.0,234908.088235,101.3292,71.6976
2002-11-01,287012500.0,1198.7,239436.472846,101.1055,71.76507
2002-12-01,286497500.0,1186.3,241505.09989,100.8141,72.09608
2003-01-01,285982500.0,1165.0,245478.540773,100.484,72.56413
2003-02-01,286045500.0,1193.7,239629.33177,100.1517,72.96261
2003-03-01,286108600.0,1252.0,228521.219382,99.85305,73.82809
2003-04-01,286171600.0,1215.5,235435.294118,99.61682,73.69526
2003-05-01,287697000.0,1210.0,237766.088154,99.46526,73.56243
2003-06-01,289222300.0,1196.0,241824.693423,99.41119,73.36214
2003-07-01,290747700.0,1181.0,246187.722269,99.4488,73.29678
2003-08-01,293218900.0,1175.0,249548.028369,99.56281,73.62885
2003-09-01,295690200.0,1150.2,257077.174984,99.73083,74.29509
2003-10-01,298161400.0,1184.0,251825.506757,99.9201,74.36044
2003-11-01,299575700.0,1202.1,249210.298644,100.0965,74.22762
2003-12-01,300990000.0,1192.0,252508.389262,100.2321,74.56179
2004-01-01,302404300.0,1174.0,257584.582624,100.3138,75.02774
2004-02-01,303244900.0,1179.0,257205.173876,100.3366,75.3598
2004-03-01,304085500.0,1146.7,265183.134211,100.3008,76.0914
2004-04-01,304926100.0,1173.6,259821.148603,100.2138,76.0914
2004-05-01,305186100.0,1165.0,261962.346209,100.0854,76.02604
2004-06-01,305446200.0,1156.0,264226.787774,99.92771,76.02604
2004-07-01,305706200.0,1170.0,261287.350427,99.75817,76.49199
2004-08-01,306541400.0,1152.0,266094.994213,99.59435,77.15612
2004-09-01,307376700.0,1152.0,266820.023148,99.45055,77.15612
2004-10-01,308211900.0,1120.0,275189.196429,99.33392,77.15612
2004-11-01,309173600.0,1048.0,295013.008906,99.24866,76.69122
2004-12-01,310135400.0,1035.1,299618.748591,99.19817,76.8251
2005-01-01,311097100.0,1026.85,302962.555388,99.18514,77.58095
2005-02-01,313041400.0,1000.85,312775.574095,99.21114,77.8951
2005-03-01,314985800.0,1015.4,310208.554921,99.27352,78.36526
2005-04-01,316930100.0,997.0,317883.751254,99.35948,78.44432
2005-05-01,318413200.0,1005.0,316829.021559,99.45322,78.36526
2005-06-01,319896200.0,1034.5,309227.871758,99.5412,78.12912
2005-07-01,321379300.0,1026.5,313082.610813,99.61693,78.44432
2005-08-01,322608500.0,1039.0,310499.037536,99.67876,78.6794
2005-09-01,323837700.0,1042.4,310665.4835,99.72855,79.07156
2005-10-01,325066900.0,1043.5,311515.955918,99.77129,78.91448
2005-11-01,326789400.0,1037.4,315008.097166,99.81157,78.60033
2005-12-01,328511900.0,1010.0,325259.306931,99.85063,78.83647
2006-01-01,330234400.0,958.9,344388.778809,99.88349,79.30663
2006-02-01,331028900.0,970.9,340950.527002,99.90384,79.46476
2006-03-01,331823300.0,971.4,341592.889987,99.90926,79.93492
2006-04-01,332617800.0,942.8,352797.836232,99.90736,80.01398
2006-05-01,334355500.0,945.3,353703.021968,99.90884,80.17001
2006-06-01,336093100.0,948.5,354341.73256,99.92113,80.01398
2006-07-01,337830800.0,954.9,353786.57451,99.94185,80.32707
2006-08-01,338766000.0,961.1,352477.404363,99.9658,80.79723
2006-09-01,339701300.0,946.0,359092.248062,99.99117,81.03232
2006-10-01,340636500.0,942.2,361533.113989,100.0256,80.64017
2006-11-01,342649300.0,929.0,368836.742017,100.0804,80.24907
2006-12-01,344662200.0,930.0,370604.480287,100.1634,80.48415
2007-01-01,346675000.0,941.0,368411.264612,100.2717,80.64017
2007-02-01,348631200.0,942.3,369978.987584,100.3972,81.18939
2007-03-01,350587400.0,941.1,372529.380512,100.5303,81.66061
2007-04-01,352543600.0,931.0,378671.965628,100.6631,81.97369
2007-05-01,353935100.0,927.4,381642.369348,100.7906,82.05276
2007-06-01,355326700.0,922.6,385136.209264,100.9122,82.05276
2007-07-01,356718200.0,919.0,388159.085963,101.0332,82.36691
2007-08-01,359059600.0,938.1,382751.909889,101.1591,82.44492
2007-09-01,361400900.0,913.6,395578.95505,101.2895,82.91613
2007-10-01,363742300.0,903.2,402726.195748,101.412,83.07214
2007-11-01,364656500.0,920.9,395978.354508,101.5089,83.07214
2007-12-01,365570600.0,935.8,390650.38826,101.5652,83.38629
2008-01-01,366484800.0,943.4,388472.334111,101.5776,83.77739
2008-02-01,366929500.0,942.8,389191.203507,101.5468,84.09259
2008-03-01,367374100.0,988.6,371610.492953,101.473,84.87689
2008-04-01,367818800.0,1005.0,365988.855721,101.3541,85.34811
2008-05-01,368632600.0,1028.5,358417.663264,101.181,86.0523
2008-06-01,369446300.0,1046.8,352929.244682,100.9363,86.60152
2008-07-01,370260100.0,1011.5,366050.519031,100.5967,87.22981
2008-08-01,366096100.0,1089.0,336176.430976,100.146,87.07274
